,Xe,Ye
307,23.077358072429323,-30.11884688561786
308,,
309,23.944454117077612,-29.881621330674218
310,23.077358072429323,-30.11884688561786
311,,
312,21.04660017410594,-11.985479237000916
313,22.65767043814203,-11.865559031923938
314,,
315,17.34127542749722,-15.06497901045202
316,18.730874695258002,-15.044716390948695
317,,
318,22.333823005267444,-13.157731166276935
319,20.698663521743523,-13.123342176903428
320,,
321,17.34127542749722,-15.06497901045202
322,17.183018227991376,-13.887279618182824
323,,
324,26.835653339012502,-28.641370550965064
325,26.001625177614272,-29.077769642259554
326,,
327,17.34127542749722,-15.06497901045202
328,18.37164098067124,-15.818526874889324
329,,
330,17.34127542749722,-15.06497901045202
331,18.5388830187379,-15.380471330047243
332,,
333,14.38921259158326,-13.726067985686463
334,14.877859067534336,-15.155570809503335
335,,
336,21.971922606870038,-14.608546028006549
337,20.050263547415845,-14.206849517463578
338,,
339,21.971922606870038,-14.608546028006549
340,20.050263547415845,-14.206849517463578
341,,
342,17.34127542749722,-15.06497901045202
343,17.811213680754843,-13.823357192314388
344,,
345,19.840976355005683,-17.572527003494265
346,20.43884878098555,-18.667328750872013
347,,
348,17.34127542749722,-15.06497901045202
349,18.00122009062337,-15.320441220801905
350,,
351,17.34127542749722,-15.06497901045202
352,17.50540342989157,-16.27648084143026
353,,
354,17.34127542749722,-15.06497901045202
355,18.032472367990035,-15.807477361588939
356,,
357,17.34127542749722,-15.06497901045202
358,18.358548587196115,-15.501353893871018
359,,
360,17.34127542749722,-15.06497901045202
361,17.648750761183976,-15.894248168324202
362,,
363,15.954351007064988,-15.474225938259083
364,14.859703076398452,-15.53821918339628
365,,
366,17.34127542749722,-15.06497901045202
367,17.734222239279475,-16.423752643685738
368,,
369,17.34127542749722,-15.06497901045202
370,15.954351007064988,-15.474225938259083
371,,
372,17.34127542749722,-15.06497901045202
373,18.17580257451457,-16.054116564555034
374,,
375,18.503547258346575,-10.160330005751641
376,18.544013086858214,-11.281841610312062
377,,
378,17.34127542749722,-15.06497901045202
379,17.37771271730159,-13.769336443729877
380,,
381,18.932007809482172,-16.36592891742919
382,18.254851477423134,-15.842497442269428
383,,
384,17.34127542749722,-15.06497901045202
385,17.495430899853947,-16.378164338152672
386,,
387,16.757144020236908,-14.0171024338889
388,17.34127542749722,-15.06497901045202
389,,
390,17.34127542749722,-15.06497901045202
391,18.182133644047493,-15.248330256728321
392,,
393,23.328664507029156,-1.1588429672201026
394,24.23996112587484,-1.422375542891797
395,,
396,17.34127542749722,-15.06497901045202
397,17.78277819862153,-16.19828415450418
398,,
399,17.34127542749722,-15.06497901045202
400,18.271812672965208,-15.106412960125532
401,,
402,17.34127542749722,-15.06497901045202
403,16.294041252245144,-14.949890818231811
404,,
405,17.34127542749722,-15.06497901045202
406,17.602353619060917,-16.13238368446051
407,,
408,32.87326474566583,-8.79132529077743
409,32.430111718361275,-7.985885377298174
410,,
411,18.416748262208007,-13.637736506454166
412,19.06098316180842,-12.582176251340341
413,,
414,17.34127542749722,-15.06497901045202
415,17.851888257795423,-16.001046258407968
416,,
417,17.34127542749722,-15.06497901045202
418,15.954351007064988,-15.474225938259083
419,,
420,18.224303132863444,-18.97504159848836
421,18.398364747645193,-17.766665919567824
422,,
423,17.34127542749722,-15.06497901045202
424,18.28813408328905,-15.278493043412094
425,,
426,17.34127542749722,-15.06497901045202
427,18.04124880800277,-16.156899111971107
428,,
429,15.954351007064988,-15.474225938259083
430,14.812061065892342,-15.341128778180039
431,,
432,16.440222618985107,-18.162209438867258
433,18.224303132863444,-18.97504159848836
434,,
435,23.328664507029156,-1.1588429672201026
436,24.23996112587484,-1.422375542891797
437,,
438,17.006404426640685,-13.433365917245112
439,16.59791655406484,-17.493213731035286
440,,
441,17.34127542749722,-15.06497901045202
442,16.627288009653604,-14.309254675807564
443,,
444,14.458826527836079,-12.591797100819763
445,15.282233645582114,-13.515985095954271
446,,
447,17.34127542749722,-15.06497901045202
448,18.348811482369317,-15.072057758591855
449,,
450,18.086559576008117,-20.01286568823976
451,17.550967492382032,-18.715319307369615
452,,
453,19.33185170289572,-12.678453308487986
454,18.650387904303464,-13.734619067994231
455,,
456,17.34127542749722,-15.06497901045202
457,18.540345291560765,-15.56075496877354
458,,
459,17.34127542749722,-15.06497901045202
460,17.861458702011692,-15.492298543759157
461,,
462,18.101503768781548,-12.86110708658016
463,18.650387904303464,-13.734619067994231
464,,
465,16.41172061739319,-12.90734647080344
466,18.101503768781548,-12.86110708658016
467,,
468,26.692496914750514,-2.4710945668913458
469,25.870115652194578,-2.0618703625006374
470,,
471,14.989692807771808,-14.704697767619553
472,16.26808022178089,-14.578704373616725
473,,
474,11.786346823553766,-17.28781885614277
475,12.681390627933173,-16.647466389288482
476,,
477,18.127004259992127,-22.910992878055666
478,18.365016201045353,-23.90441206526182
479,,
480,17.34127542749722,-15.06497901045202
481,16.268894374873213,-14.8731582443956
482,,
483,17.34127542749722,-15.06497901045202
484,18.729113060695724,-15.113884375796935
485,,
486,17.34127542749722,-15.06497901045202
487,18.417831936476656,-15.048059145955989
488,,
489,17.34127542749722,-15.06497901045202
490,17.472803000642156,-16.451096996668916
491,,
492,17.34127542749722,-15.06497901045202
493,16.62437706560319,-14.48958574377843
494,,
495,17.34127542749722,-15.06497901045202
496,18.586217288997382,-15.268620615066327
497,,
498,18.650387904303464,-13.734619067994231
499,18.702069151802597,-12.610421900969339
500,,
501,17.34127542749722,-15.06497901045202
502,16.781965127159637,-14.314256171024216
503,,
504,17.34127542749722,-15.06497901045202
505,17.56483271648897,-15.966206867197139
506,,
507,17.34127542749722,-15.06497901045202
508,18.669889068470987,-15.309791690293682
509,,
510,17.34127542749722,-15.06497901045202
511,17.714054611512566,-15.828275800422018
512,,
513,17.34127542749722,-15.06497901045202
514,17.541629926560656,-16.196698992855122
515,,
516,18.747177345882353,-14.781914769522102
517,19.276518823875428,-13.87638535589845
518,,
